table_name,column_name,data_type,is_nullable,is_primary,references_table
booking_equipments,booking_id,integer,NO,true,bookings
booking_equipments,equipment_id,integer,NO,true,equipments
booking_equipments,condition_out,text,YES,false,null
booking_equipments,condition_in,text,YES,false,null
booking_equipments,accessories_out,ARRAY,YES,false,null
booking_equipments,accessories_in,ARRAY,YES,false,null
bookings,id,integer,NO,true,null
bookings,customer_id,uuid,NO,false,customers
bookings,start_date,timestamp without time zone,NO,false,null
bookings,end_date,timestamp without time zone,NO,false,null
bookings,total_rent_fee,bigint,NO,false,null
bookings,deposit_fee,bigint,NO,false,null
bookings,deposit_status,character varying,YES,false,null
bookings,booking_status,character varying,YES,false,null
bookings,penalty_fee,bigint,NO,false,null
bookings,created_at,timestamp without time zone,YES,false,null
bookings,checkin_date,timestamp without time zone,YES,false,null
bookings,checkout_date,timestamp without time zone,YES,false,null
bookings,delivered_by,integer,YES,false,null
bookings,received_by,integer,YES,false,null
bookings,notes,text,YES,false,null
bookings,battery_product_id,integer,YES,false,products
bookings,battery_quantity,integer,YES,false,null
camera_models,id,integer,NO,true,null
camera_models,catgories_id,integer,NO,false,categories
camera_models,model_name,character varying,NO,false,null
camera_models,rent_price_per_day,numeric,NO,false,null
camera_models,deposit_amount,numeric,NO,false,null
camera_models,is_active,boolean,YES,false,null
camera_models,sale_price,numeric,YES,false,null
camera_models,brand,character varying,YES,false,null
categories,id,integer,NO,true,null
categories,name,character varying,NO,false,null
customers,id,uuid,NO,true,null
customers,first_name,character varying,NO,false,null
customers,last_name,character varying,NO,false,null
customers,email,character varying,YES,false,null
customers,phone_number,character varying,YES,false,null
customers,identity_number,character varying,YES,false,null
customers,is_active,boolean,YES,false,null
customers,created_at,timestamp without time zone,YES,false,null
customers,address,text,YES,false,null
customers,notes,text,YES,false,null
employees,id,integer,NO,true,null
employees,staff_code,character varying,NO,false,null
employees,full_name,character varying,NO,false,null
employees,phone,character varying,YES,false,null
employees,address,text,YES,false,null
employees,notes,text,YES,false,null
employees,created_at,timestamp without time zone,YES,false,null
equipments,id,integer,NO,true,null
equipments,model_id,integer,NO,false,camera_models
equipments,serial_number,character varying,NO,false,null
equipments,status,character varying,YES,false,null
equipments,created_at,timestamp without time zone,YES,false,null
expenses,id,integer,NO,true,null
expenses,business_type,character varying,NO,false,null
expenses,expense_date,date,NO,false,null
expenses,description,text,NO,false,null
expenses,amount,numeric,NO,false,null
expenses,paid_by,character varying,NO,false,null
expenses,notes,text,YES,false,null
expenses,created_at,timestamp without time zone,YES,false,null
maintenance_logs,id,integer,NO,true,null
maintenance_logs,equipment_id,integer,NO,false,equipments
maintenance_logs,reported_by,uuid,NO,false,users
maintenance_logs,issue_description,text,NO,false,null
maintenance_logs,repair_cost,bigint,NO,false,null
maintenance_logs,created_at,timestamp without time zone,YES,false,null
order_items,id,integer,NO,true,null
order_items,order_id,integer,NO,false,null
order_items,product_id,integer,NO,false,products
order_items,quantity,integer,NO,false,null
order_items,unit_price,bigint,NO,false,null
orders,order_id,integer,NO,true,null
orders,customer_id,uuid,NO,false,customers
orders,total_price,bigint,NO,false,null
orders,status,character varying,NO,false,null
orders,created_at,timestamp without time zone,YES,false,null
products,id,integer,NO,true,null
products,categories_id,integer,NO,false,categories
products,name,character varying,NO,false,null
products,price,bigint,NO,false,null
products,stock_quantity,integer,NO,false,null
products,created_at,timestamp without time zone,YES,false,null
products,rent_price_per_day,numeric,YES,false,null
products,brand,text,YES,false,null
rental_imports,id,integer,NO,true,null
rental_imports,import_date,date,NO,false,null
rental_imports,total_value,numeric,NO,false,null
rental_imports,product_name,character varying,NO,false,null
rental_imports,quantity,integer,NO,false,null
rental_imports,received_by,character varying,NO,false,null
rental_imports,notes,text,YES,false,null
rental_imports,created_at,timestamp without time zone,YES,false,null
reviews,id,integer,NO,true,null
reviews,customer_id,uuid,NO,false,customers
reviews,target_type,character varying,NO,false,null
reviews,target_id,integer,NO,false,null
reviews,rating,integer,NO,false,null
reviews,comment,text,YES,false,null
reviews,created_at,timestamp without time zone,YES,false,null
sale_customers,id,uuid,NO,true,null
sale_customers,full_name,character varying,NO,false,null
sale_customers,phone,character varying,NO,false,null
sale_customers,address,text,YES,false,null
sale_customers,email,character varying,YES,false,null
sale_customers,notes,text,YES,false,null
sale_customers,created_at,timestamp without time zone,YES,false,null
sale_employees,id,integer,NO,true,null
sale_employees,staff_code,character varying,NO,false,null
sale_employees,full_name,character varying,NO,false,null
sale_employees,phone,character varying,YES,false,null
sale_employees,address,text,YES,false,null
sale_employees,notes,text,YES,false,null
sale_employees,created_at,timestamp without time zone,YES,false,null
sale_imports,id,integer,NO,true,null
sale_imports,import_date,date,NO,false,null
sale_imports,total_value,numeric,NO,false,null
sale_imports,product_name,character varying,NO,false,null
sale_imports,quantity,integer,NO,false,null
sale_imports,received_by,character varying,NO,false,null
sale_imports,notes,text,YES,false,null
sale_imports,created_at,timestamp without time zone,YES,false,null
sale_orders,id,integer,NO,true,null
sale_orders,customer_id,uuid,NO,false,sale_customers
sale_orders,product_id,uuid,NO,false,sale_products
sale_orders,sale_price,numeric,NO,false,null
sale_orders,quantity,integer,NO,false,null
sale_orders,sold_by,integer,YES,false,sale_employees
sale_orders,notes,text,YES,false,null
sale_orders,status,character varying,NO,false,null
sale_orders,created_at,timestamp without time zone,YES,false,null
sale_products,id,uuid,NO,true,null
sale_products,name,character varying,NO,false,null
sale_products,brand,character varying,NO,false,null
sale_products,category_name,character varying,NO,false,null
sale_products,sale_price,numeric,NO,false,null
sale_products,total_stock,integer,NO,false,null
sale_products,available_stock,integer,NO,false,null
sale_products,description,text,YES,false,null
sale_products,images,jsonb,NO,false,null
sale_products,created_at,timestamp without time zone,YES,false,null
transactions,id,uuid,NO,true,null
transactions,booking_id,integer,YES,false,bookings
transactions,order_id,integer,YES,false,orders
transactions,user_id,uuid,NO,false,users
transactions,type,character varying,NO,false,null
transactions,amount,numeric,NO,false,null
transactions,payment_method,character varying,NO,false,null
transactions,status,character varying,NO,false,null
transactions,notes,text,YES,false,null
transactions,created_at,timestamp without time zone,YES,false,null
transactions,updated_at,timestamp without time zone,YES,false,null
users,id,uuid,NO,true,null
users,role,character varying,NO,false,null
users,first_name,character varying,NO,false,null
users,last_name,character varying,NO,false,null
users,email,character varying,NO,false,null
users,phone_number,character varying,NO,false,null
users,password_hash,character varying,NO,false,null
users,identity_number,character varying,NO,false,null
users,is_active,boolean,YES,false,null
users,created_at,timestamp without time zone,YES,false,null
